你好 欢迎
普通话 粤语
面包 蛋糕
辣椒 芥末
手机 电脑
电脑 ipad
蝴蝶 蜜蜂
包子 饺子
保安 保镖
牛奶 豆浆
吉他 琵琶
卷发 直发
楼梯 电梯
纸巾 湿巾
玻璃 镜子
图书馆 图书店
爹 妈
同学 老师
男朋友 前男友
公交 地铁
麦克风 音响
钢琴 电子琴
动物 植物
作家 编剧
鸡蛋 鸭蛋
麻辣烫 火锅
青春有你 天天向上
盒子 箱子
皇帝 总统
警察 军人
胡子 眉毛
太监 人妖
卡车 公交
初恋 初吻
冠军 第一
女孩 女人
啤酒 香槟
红茶 绿茶
手 脚
浴缸 鱼缸
电动车 摩托车
眉毛 睫毛
书 本
筷子 竹签
麻雀 乌鸦
火车 轮船
镜子 玻璃
脸盆 水桶
直尺 三角板
吴昕 谢娜
晨光 真彩
蒙牛 伊利
手 脚
笤帚 拖把
铅笔带 铅笔盒
那英 王菲
盗墓笔记 鬼吹灯
散文 小说
树枝 树干
门诊 急诊
加多宝 王老吉
天天向上 快乐大本营
零花钱 生活费
夜宵 烧烤
手机 座机
双胞胎 龙凤胎
作文 论文
婚纱 喜服
面包 蛋糕
作文 论文
油条 麻花
壁纸 贴画
枕头 抱枕
手机 座机
同学 同桌
婚纱 喜服
土豆粉 酸辣粉
蜘蛛侠 蝙蝠侠
口香糖 木糖醇
酸菜鱼 水煮鱼
结婚 订婚
童话 神话
口音 方言
鼠标 手柄
discord skype
可乐 雪碧
裸婚 闪婚
约会 约炮
努力 学习
